DID,Handle,Display Name,CreatedAt,Text,ReplyCount,RepostCount,LikeCount,QuoteCount,Parent DID,Parent Handle,Parent Display Name,Parent CreatedAt,Parent Text,Parent ReplyCount,Parent RepostCount,Parent LikeCount,Parent QuoteCount,Quoted DID,Quoted Handle,Quoted Display Name,Quoted CreatedAt,Quoted Text,Quoted ReplyCount,Quoted RepostCount,Quoted LikeCount,Quoted QuoteCount
did:plc:o3o4uv5qav4zqvstn4rov27e,recombobulating.bsky.social,r,2023-09-18T19:26:18.841Z,Bluesky shows a lot of promise as a platform but I'm not sure the people behind it are interested in actually making it a viable replacement for twitter and it's so frustrating. Nobody wants to address moderation and misinformation just find ways to outsource responsibility elsewhere.,0,0,1,0,did:plc:nylio5rpw7u3wtven3vcriam,micahgallen.com,Micah G. Allen,2023-09-18T19:21:29.178Z,"i feel like my drive for a strict scientific ethic causes me to punish myself for most of my career, but there is no need to subject my trainees to that. People are still over there paying to promote their shit, least I can do is post the occasional paper tweet.",3,0,2,0,,,,,,0,0,0,0
did:plc:o7swdk7wvxplhd2ncnvcx5cv,sarahpolo10.bsky.social,Sarah Chambers,2023-09-19T09:45:20.951Z,"The moderation of this debate has her adding misinformation, no push back on any of the lies and inflammatory statements. Her performance was pretty awful,",1,0,12,0,did:plc:2atf2e2rzppevxxtbkj7aeqf,morgangodfery.bsky.social,morgan godfery,2023-09-19T09:42:00.362Z,"relentlessly focused grouped answers with nothing at stake. our major parties are hollow shells without political content. and perhaps the worst moderation in recent memory - rushed at all times, no time given for genuine exploration, seemingly random question order, and horrifically loaded framing",4,6,61,0,,,,,,0,0,0,0
did:plc:3bybp6nqszlhuan2ch2cmv66,keithwilson.eu,Keith🎄Wilson,2023-09-24T14:03:56.137Z,"Maybe nothing, but it shares many of the same limitations (e.g. no editing, arbitrarily short messages, inadequate moderation) and potentially harmful behaviours (pile-ons, gaming of user attention, misinformation and abuse). It would nice if things had moved on a bit over the past 10 years.",2,0,0,0,did:plc:tkbweudpy6tvzjqdiza4z3p5,j2bryson.bsky.social,Joanna Bryson,2023-09-24T10:59:30.291Z,What’s wrong with that?,1,0,2,0,,,,,,0,0,0,0
did:plc:o5wlr3gi4tz23ake7ef23ejs,socialmedialab.ca,Social Media Lab,2023-09-28T20:28:19.988Z,Here's a sneak peek at our upcoming Special Issue in Social Media+Society on “Trust and Safety on Social Media: Understanding the Impact of Anti-social Behavior and Misinformation on Content Moderation and Platform Governance” #SMSociety We're just waiting for 2 more articles to come out.,0,4,5,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:o5wlr3gi4tz23ake7ef23ejs,socialmedialab.ca,Social Media Lab,2023-10-03T11:12:06.353Z,We are pleased to announce the publication of our new special issue in Social Media+ Society on “Trust and Safety on Social Media: Understanding the Impact of Anti-Social Behavior and Misinformation on Content Moderation and Platform Governance” socialmedialab.ca/2023/10/03/a...,1,9,7,1,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:rz7enkoz2avytrmy3usxbw7c,theeasternromans.bsky.social,ShadowsOfConstantinople,2023-10-06T13:09:34.284Z,The only thing I’ll say is there is misinformation on Facebook (a lot) and instagram too. It’s a widespread social problem. But X does need more moderation that responds faster,1,0,1,0,did:plc:77slk7phewvpdlfdovg6porl,historybytes.bsky.social,HistoryBytes,2023-10-06T12:38:19.946Z,"Twittee is a cesspool of disinformation, deprecated and dishonest content. Musk has transformed the platform into one of virulent hatred where bias reigns supreme without any way to authenticate the content being shared is even true or not. Firmly believe this will further deteriorate.",2,0,1,0,,,,,,0,0,0,0
did:plc:iugfc76gdazun5fgf4vblwnc,aurman21.bsky.social,Aleksandra Urman,2023-10-06T09:07:11.267Z,"What do users think about content moderation in web search when it's about misinformation or potentially offensive content? We have a new paper (accepted at CSCW 2024, released as preprint now) about this! The link is here, and a short summary below in replies arxiv.org/abs/2310.03458

Commsky",1,0,5,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:ema7ggd5nftwq6wfk2znhtrc,upsideofdown.bsky.social,Ryan Fritsch,2023-10-09T19:16:13.862Z,"Great line: ""Musk’s ignorance is turning Twitter into the comment section of the world’s least-trustworthy newspaper.""

In a world awash in information and misinformation, the ""value added"" is curation and moderation. AI is problematic for laypeople as it appears to curate but is indiscriminate.",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:dr4hhg363fqx6zpzcukl6uib,djdunclive.bsky.social,Mr. Yuletide Grift,2023-10-10T23:39:51.972Z,"Musk's approach to content moderation appears to be ""Let videos of the slaughter of civilians dance freely on your timelines and actively promote accounts tweeting out misinformation of a horrifying situation""",2,0,7,0,did:plc:2imf6dh5h4beyx53m25b7v43,thecheesegoddess.bsky.social,The Cheese Goddess,2023-10-10T23:37:17.838Z,What did I miss?,1,0,2,0,,,,,,0,0,0,0
did:plc:5br3l2i3skeibf5jxmwncy65,bengroff.bsky.social,Ben Groff,2023-10-10T15:04:40.523Z,"Yes there is a kind of access and democracy benefit for their being an app where anyone can post anything, however I think without verification and moderation, any of those credible voices who once could have broken through are just going to be drowned out by the noise of misinformation.",1,0,0,0,did:plc:5br3l2i3skeibf5jxmwncy65,bengroff.bsky.social,Ben Groff,2023-10-10T15:02:59.547Z,"It just seems the correct way to use this kind of app is to interpret and provide commentary on news after digesting the information from longer form sources. 

If there's a credible system for verification and moderation that definitely changes things, but Twitter was probably rare in that regard.",1,0,0,0,,,,,,0,0,0,0
did:plc:wd23ycs3nif2oshhl3i6vwkd,jbhall56.bsky.social,PCI Guru,2023-10-10T12:02:33.666Z,"The rise of cheap and easy-to-use generative AI tools, the lack of legal guardrails for their deployment and relaxed content moderation policies and layoffs at tech companies are creating the conditions for a perfect misinformation storm. www.axios.com/2023/10/10/m...",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:srbgruu747dirt5kgibp3azj,kapsar.bsky.social,Kapsar,2023-10-11T19:04:39.859Z,"You are doing some incredible work explaining to a lot of people what's going on and why it's bad.

Censorship bad. Need moderation. Fight fascism. Fight spread of misinformation through non censorous means, like moderation. Good stuff",0,0,1,0,did:plc:cak4klqoj3bqgk5rj6b4f5do,mmasnick.bsky.social,Mike Masnick,2023-10-11T16:33:29.937Z,"So, look, Musk is an idiot and has put in place policies that definitely encourage disinfo on exTwitter, but @thierrybreton.bsky.social sending smug ""censor or else!"" letters is garbage.

EU taking pages from the Chinese censorship playbook is a problem.

 www.techdirt.com/2023/10/11/s...",35,32,181,9,,,,,,0,0,0,0
did:plc:6rdthm3ihpqfd7vn2q2ktjrz,colin-fraser.net,Colin,2023-10-11T18:45:24.281Z,"In the absence of any govt pressure, what do you see as the impetus for X to do any moderation at all? Assuming that the fake footage and misinformation makes money, and moderating costs money, it seems in their rational best interest not to moderate at all. But that outcome seems bad, no?",2,0,3,0,did:plc:cak4klqoj3bqgk5rj6b4f5do,mmasnick.bsky.social,Mike Masnick,2023-10-11T18:39:37.343Z,"Yes. I see how that allows EU officials to pretend they're not censoring, and allows Thierry to play this game of ""I'm not pointing to any specific content, but just you know what to do"" *wink wink*. 

That is censorship. It is saying ""if you do not moderate to our liking, we will punish you.""",1,0,2,0,,,,,,0,0,0,0
did:plc:vnmryekve36s6j6wsdi24g4p,seeders.phd,🎄 Seeders 🎄,2023-10-11T15:46:56.024Z,"Holy shit, Musk is trying to act tough against the fucking EU.

I can't wait to see this backfire 😂",2,3,7,1,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:p4ntkukljuz3xxdxp2sxxkui,neelima.bsky.social,Neelima Vallangi,2023-10-11T03:43:01.350Z,"Wondering if having no information is better than drowning in harmful misinformation? X/Musk's strong commitment to promoting disinformation and foregoing any kind of moderation does not bode well for the tumultuous times of war, disasters and elections ahead.",0,1,2,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:o5q7t2dlvgokf57vwijqrsht,newslit.co,Newslit News,2023-10-12T14:38:08.446Z,"3️⃣ Unmoderated platforms like Twitter heighten misinformation. Despite moderation efforts, digital spaces are chaotic and unreliable for real-time news, lacking clear solutions.

By Ryan Broderick via Garbage Day
www.garbageday.email/p/this-is-wh...",1,0,0,0,did:plc:o5q7t2dlvgokf57vwijqrsht,newslit.co,Newslit News,2023-10-12T14:37:09.497Z,"2️⃣ Six months post-NPR's Twitter exit, web traffic impact is minimal. While once essential, Twitter's publisher value has diminished. NPR now emphasizes quality engagement on platforms like Instagram and Threads.

Nieman Reports
niemanreports.org/articles/npr...",1,0,0,0,,,,,,0,0,0,0
did:plc:t6t7lfgcufrfjrdjhykwgfac,kakape.bsky.social,Kai Kupferschmidt,2023-10-12T13:11:46.325Z,"Misinformation and disinformation were a huge problem before Musk bought Twitter, of course, but it seems pretty clear that things are only getting worse there given his policies of abolishing much of content moderation and actually incentivizing people spreading misinformation …",1,8,16,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:waeh2azqfmi6xk2wwst3olso,sohandsouza.bsky.social,Sohan Dsouza,2023-10-15T14:28:44.355Z,"""Misinformation and its Moderation on WhatsApp"" by Kiran Garimella
🗓 2023/OCT/20 ⏰ 2PM-4PM ET
📍 Joukowsky Forum, Watson Institute for International and Public Affairs
🔗 loom.ly/yjzZunk (in-person and live-streamed)
#MDM #misinformation #platforms #research #SouthAsia #WhatsApp",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:lse7quaysss2d3xxm76mouhd,brianckeegan.com,Brian C. Keegan,2023-10-16T01:53:52.935Z,"Boulder’s NextDoor deemed this post “misinformation” and took it down, in case you’re wondering how campaigning on platforms with politically-biased moderation teams is going.",0,1,9,1,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:3md4muk42xbkpdgulfinoaxm,kevinbaker.bsky.social,ktb,2023-10-17T20:32:00.006Z,"For me, it’s hard to escape the conclusion that the proliferation of spook frames like “misinformation” and “disinformation” and the militarization of speech and moderation are important drivers of the phenomenon they seek to describe. Everything becomes a plot.",1,1,4,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:igo6x6jzrhlemupup4ctvf3r,astris.bsky.social,Astris,2023-10-19T21:38:28.363Z,"I think the main point he was trying to make was that there isn't much moderation *suppressing* misinformation, and as a result, reliable and well-intentioned news sources get drowned out by misleading ones. From what I've seen on the TT, your videos are more accurate (and less alarmist) than most",0,0,1,0,did:plc:t2shu6klkrg4jyra5emeaga3,socksfur.bsky.social,🦝 Socks 🐭,2023-10-19T20:41:14.729Z,"Over on TT Hank Green made a swipe at TikTok newsies through the ""Breaking News Fish"" account. Kinda implied that we all just make things up and don't report any amount of truth.

Really tired of mainstream media taking dumps on us 'cuz we're not in their payrolls.",1,0,6,0,,,,,,0,0,0,0
did:plc:vabi7rvatytszglj5e4mlbyq,elfexgirlfriend.com,Elph 🌱Doing her best🎨🔞,2023-10-20T23:41:48.444Z,"🧵1 
Not all alt text is complete due to character limits",1,0,0,0,did:plc:ivjtepcp6jegdxkxuxav5a3q,ninjafingers.bsky.social,Jennifer R. Povey,2023-10-20T20:47:39.130Z,Anything that doesn't require me to allow malware on my computer?,3,0,0,0,,,,,,0,0,0,0
did:plc:ukhaigpilraq5laa2pdmrwph,eladn.bsky.social,Elad Nehorai,2023-10-24T17:58:50.816Z,"XOutHate, the coalition of 161 Jewish leaders which called out antisemitism on X, has released a followup statement about the massive rise of antisemitism & Islamophobia on the platform.

The war has unleashed a torrent of hate and misinformation which X and Musk are unable and unwilling to address.",3,21,63,2,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:b6jjj4ah4dujzacs7geaovts,johnmediawatch.bsky.social,John,2023-10-26T18:31:19.254Z,In my view news isn't the problem with X. It is the lack of moderation and the owners endorsement of right wing misinformation together with a business model that encourages propaganda.,0,0,3,0,did:plc:ixoqz2qvqnxc4kihxtlklnib,johnynocash.bsky.social,Johny Nocash/John Hartley ,2023-10-26T07:36:03.373Z,No thank you. Many of us have left TwiX because of the constant ‘news’ and then the reactionary arguments and debates that ensue. People need *some* space away from that. BlueSky is doing just fine as that space.,2,0,3,0,,,,,,0,0,0,0
did:plc:fyjuwnccvb2yiaf5zctvvdzn,benjstroud.bsky.social,Ben Stroud,2023-11-01T13:29:28.256Z,"Social media platforms are facing challenges containing graphic content and misinformation regarding the Israel-Hamas conflict proliferating globally.

Digital rights activists say that insufficient investment in non-English language moderation has enabled this.

www.context.news/big-tech/isr...",0,1,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:fl7as2spyydk2hb3btjkpt5f,zekuzelalem.bsky.social,Zecharias Zelalem,2023-11-03T05:03:49.103Z,"Misinformation and genocidal calls  amplified on Facebook by government backed accounts with hundreds of thousands of followers targeted an ethnic minority and generated consent for gruesome state atrocities.

Meta just couldn't care enough about content moderation that isn't in European languages.",1,0,2,0,did:plc:fl7as2spyydk2hb3btjkpt5f,zekuzelalem.bsky.social,Zecharias Zelalem,2023-11-03T05:00:09.441Z,"On Tuesday, Amnesty Intl. published a detailed report into how Meta's horrendous moderation practices led to atrocities & discrimination of ethnic Tigrayans during Ethiopia's 2020-2022 war.

I'm quoted, so are some friends. 

Know more about the horrors big tech inflicts on our corner of the world.",1,3,6,0,,,,,,0,0,0,0
did:plc:p6c5amk65nl3fge7nls3ta2j,crispytoast.bsky.social,Crispy Toast,2023-11-06T13:42:24.201Z,"I was not kidding when I said that X/Twitter became a danger zone. With the lack of the content moderation team over there, they are not only posting misinformation but they also posting gorey and illegal imagery.",4,0,3,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:tpjypws5r3t3xvjqswqnxnf6,rossdahlke.bsky.social,Ross Dahlke,2023-11-08T21:57:42.551Z,"Partisans have differing opinions over content moderation even when being told content is false, with Democrats desiring more content moderation than Republicans but demonstrating a party promotion gap, finds Appel, Pan & Roberts

www.science.org/doi/pdf/10.1...",0,1,8,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:yydcmtxs2k6vfjj3gspxyi2s,lukefoley.me,Luke Foley,2023-11-13T11:07:15.478Z,This is fascinating particularly the Trump misinformation content stuff and Yoel Roth and Twitter’s moderation policies.,0,0,0,0,did:plc:yydcmtxs2k6vfjj3gspxyi2s,lukefoley.me,Luke Foley,2023-11-13T10:45:42.778Z,Watching this doco called Elon Musk’s Twitter Takeover and it’s a real insight. It’s a Musk brain breakdown. It’s a must watch.,2,0,2,0,,,,,,0,0,0,0
did:plc:ieipici6is42y7e6r2cvk4x2,barrynorton.bsky.social,Barry Norton 🌈 ♾ 📚,2023-11-18T06:54:31.953Z,What did I miss? (Not taking part this year.),0,0,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:e6666w43nycctqshj27fl56a,clueless.bsky.social,cluesan al-gaib,2023-11-18T04:55:54.963Z,seems like some normal stuff has been happening in the nanowrimo forums omg,8,5,57,3,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:o5q7t2dlvgokf57vwijqrsht,newslit.co,Newslit News,2023-11-22T14:46:10.334Z,"1️⃣ Elon Musk's vision for open speech on X challenges misinformation moderation, as posts related to the Israel-Hamas conflict see delays in fact-checking, potentially impacting real-world policy and actions.

By Davey Alba via Bloomberg
www.bloomberg.com/graphics/202...",1,0,0,0,did:plc:o5q7t2dlvgokf57vwijqrsht,newslit.co,Newslit News,2023-11-22T14:45:48.881Z,"Catch today's insights with Newslit Daily!

🚫 Musk's platform struggles with misinformation; OpenAI sees leadership reshuffle with Altman's return and Microsoft's growing influence; AI propels material science innovation; artillery tech advances.

🧵⬇️
open.substack.com/pub/newslit/...",1,0,0,0,,,,,,0,0,0,0
did:plc:pjd43exog5mscgzhwtqgr2zn,themeadhallbard.bsky.social,The Phantom of the Mead Hall Bard,2023-11-30T15:31:57.108Z,"Not just one thing. It's the aggregate of misinformation, right wing poison, piss poor moderation and general decline. It's just not very uplifting. I've keep the account open for DMs and hoping for a miracle. I've deleted the app though, so I only check in very occasionally.",2,0,2,0,did:plc:qevftqzrt4kssd55rrgllraf,ladyfluffyorca.bsky.social,LadyFluffyOrca,2023-11-30T15:18:19.506Z,I was thinking this morning that you’d been quiet so checked your account only to find you’d buggered off here.  What was the stick that broke you?,1,0,2,0,,,,,,0,0,0,0
did:plc:f3oesb652tfqxbidljo5wazn,harfenist.bsky.social,uɐɥʇƎ,2023-12-05T23:14:10.001Z,"Lastly, DMs (and effective moderation across the board) also help weed out toxic users who maybe censor themselves on public posts, but use the perceived shield of ""direct"" messages to harass others and spew hate and misinformation.",1,0,0,0,did:plc:f3oesb652tfqxbidljo5wazn,harfenist.bsky.social,uɐɥʇƎ,2023-12-05T23:10:31.788Z,"Right now, bsky feels like the social media equivalent of an open office--a workplace that makes the set in ""Office Space"" look ideal in comparison--without any bathrooms or windows or a water cooler.",1,0,0,0,,,,,,0,0,0,0
did:plc:w2xvtj6v24s44tidzc42akov,victoriadecapua.bsky.social,Victoria De Capua,2023-12-07T04:42:51.139Z,"they didn't give a shit about misinformation until covid. There was about ten minutes where the moderation policy including some good things like stopping people from deadnaming. And then, and then.",0,0,2,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:cxuzwp5dzmxkrdr55qh25mgb,zig.computer,Zig 🪩,2023-12-10T20:52:03.881Z,"If this website is actually going to go into a US election year with absolutely no plan for scaling trust and safety and addressing misinformation (composable moderation and labeling, where are you???) then I can only assume shadow money has purchased this app.",2,1,10,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:ddguahodtytysafrr3xuebpm,johnmjones.bsky.social,John Jones,2023-12-15T02:00:32.359Z,"A summary:

The internet is a cesspool, but Substack is a beautiful garden. Some people want to ruin that garden by moderating out the Nazi flowers, but we know that moderation doesn’t work because Facebook never tried it and Twitter (RIP) tried to limit election misinformation. …",1,0,0,0,did:plc:ddguahodtytysafrr3xuebpm,johnmjones.bsky.social,John Jones,2023-12-14T21:32:30.269Z,This is a wild ride.,1,0,1,0,,,,,,0,0,0,0
did:plc:xxlipyw42oks74ym3ntgbjav,bombniks.bsky.social,Bombniks 🏳️‍⚧️,2023-12-18T12:27:51.191Z,"At this point I don't even know if a EU-wide ban will stop any of it. Mind you hate and misinformation always existed there, it's just that there is 0 moderation for it now.",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:k4jt6heuiamymgi46yeuxtpt,propublica.org,ProPublica,2023-12-20T12:29:33.175Z,"How Verified Accounts on X Thrive While Spreading Misinformation About the Israel-Hamas Conflict

With the gutting of content moderation initiatives at the former Twitter, accounts with blue checks, once a sign of authenticity, are disseminating debunked claims and gaining more followers.",6,64,127,3,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:hsfzdq3icftr7vdp4d7krv4t,blackamazon.bsky.social,🇬🇾🗽Sydette The Dreaded Gorgon🗽🇬🇾,2023-12-22T15:47:44.476Z,"So when do we actually talk about Stanford and its abysmal relationship to certato certain Black women ? 

Especially the Internet Observatory because I’ve experienced it more than once in my wok on moderation and misinformation 

And it’s distressing nothing has changed",1,7,29,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:tpjypws5r3t3xvjqswqnxnf6,rossdahlke.bsky.social,Ross Dahlke,2024-01-09T23:43:41.171Z,"When Parler's web hosting services were revoked after Jan 6, most users didn't move to another platform, but the highly-active users who did migrate to Telegram consumed more misinformation after migrating, finds Agarwal et al. dx.doi.org/10.2139/ssrn...",0,3,17,1,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:x6ylvxqxeae27igum33fcszd,yell0w.bsky.social,【あけおめ】黄色,2024-01-10T10:05:03.276Z,"I guess you'd better prepare a trusty way to deal with bots and misinformation before abolish Invite Code system... I mean, look at Twitter. It actually happens if an SNS doesn't have any decent moderators.
I know I'm not sure about how trustworthy your moderation team is... I hope they are good.",0,1,3,0,did:plc:qjeavhlw222ppsre4rscd3n2,rose.bsky.team,Rose 🌹,2024-01-09T19:35:35.462Z,Invite codes are going away soon 🙃,17,220,271,83,,,,,,0,0,0,0
did:plc:356vf3h26qcjvm7upg7ogzxe,danielloxton.bsky.social,Daniel Loxton,2024-01-10T03:07:43.558Z,"The best option for much misinformation is that no one sees it in the first place. That brings us into the quagmire of content moderation, legit free speech concerns, and cynical “censorship” claims from bad actors—except where we merely decide what claims to personally amplify for public criticism.",1,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
